Date,Description,Amount,Balance,Type,Source,Notes
2023-07-22,ECM A LEGALZOOM CO.,-9.28,,Privacy.com,Privacy.com Statement 2023-01-01 - 2023-12-31.csv,AUTOMATIQUE - Registered Agent prorated first charge (card 4496)
2023-09-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2023-01-01 - 2023-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2023-10-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2023-01-01 - 2023-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2023-11-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2023-01-01 - 2023-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
2023-12-01,ECM A LEGALZOOM CO.,-29.00,,Privacy.com,Privacy.com Statement 2023-01-01 - 2023-12-31.csv,AUTOMATIQUE - Registered Agent (card 4496)
